gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type_of_interaction
RRP1	YDR087C	Ribosomal RNA-processing protein 1	MAK16	YAL025C	Protein MAK16	ng
RRP1	YDR087C	Ribosomal RNA-processing protein 1	MAK5	YBR142W	ATP-dependent RNA helicase MAK5	ng
SLU7	YDR088C	Pre-mRNA-splicing factor SLU7	BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	ng
RLI1	YDR091C	Translation initiation factor RLI1	SEC17	YBL050W	Alpha-soluble NSF attachment protein	ng
RLI1	YDR091C	Translation initiation factor RLI1	GLE1	YDL207W	Nucleoporin GLE1	ng
UBC13	YDR092W	Ubiquitin-conjugating enzyme E2 13	FZO1	YBR179C	Mitofusin FZO1	ng
GIS1	YDR096W	Transcriptional activator/repressor GIS1	TAF5	YBR198C	Transcription initiation factor TFIID subunit 5	ng
GRX3	YDR098C	Monothiol glutaredoxin-3	HAP3	YBL021C	Transcriptional activator HAP3	ng
ARX1	YDR101C	Probable metalloprotease ARX1	ECM1	YAL059W	Shuttling pre-60S factor ECM1	ng
ARX1	YDR101C	Probable metalloprotease ARX1	CDC28	YBR160W	Cyclin-dependent kinase 1	ng
ARX1	YDR101C	Probable metalloprotease ARX1	RSA4	YCR072C	Ribosome assembly protein 4 {ECO:0000303|PubMed:16221974}	ng
PDS1	YDR113C	Securin	MCM2	YBL023C	DNA replication licensing factor MCM2	ng
PDS1	YDR113C	Securin	DUN1	YDL101C	DNA damage response protein kinase DUN1	ng
NA	YDR115W	54S ribosomal protein L34, mitochondrial precursor	RVS161	YCR009C	Reduced viability upon starvation protein 161	ng
INO2	YDR123C	Protein INO2	CDS1	YBR029C	Phosphatidate cytidylyltransferase	ng
INO2	YDR123C	Protein INO2	BIK1	YCL029C	Nuclear fusion protein BIK1	ng
MTC5	YDR128W	Maintenance of telomere capping protein 5	SEA4	YBL104C	SEH-associated protein 4	ng
SAC6	YDR129C	Fimbrin	RVS161	YCR009C	Reduced viability upon starvation protein 161	ng
FIN1	YDR130C	Filament protein FIN1	CSM1	YCR086W	Monopolin complex subunit CSM1	ng
PEX7	YDR142C	Peroxisomal targeting signal 2 receptor	AGP2	YBR132C	General amino acid permease AGP2	ng
PEX7	YDR142C	Peroxisomal targeting signal 2 receptor	MDH3	YDL078C	Malate dehydrogenase, peroxisomal	ng
TAF12	YDR145W	Transcription initiation factor TFIID subunit 12	REB1	YBR049C	DNA-binding protein REB1	ng
TAF12	YDR145W	Transcription initiation factor TFIID subunit 12	SWC5	YBR231C	SWR1-complex protein 5	ng
SWI5	YDR146C	Transcriptional factor SWI5	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
SWI5	YDR146C	Transcriptional factor SWI5	MCM2	YBL023C	DNA replication licensing factor MCM2	ng
SWI5	YDR146C	Transcriptional factor SWI5	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
SWI5	YDR146C	Transcriptional factor SWI5	PKC1	YBL105C	Protein kinase C-like 1	ng
SWI5	YDR146C	Transcriptional factor SWI5	ORC2	YBR060C	Origin recognition complex subunit 2	ng
SWI5	YDR146C	Transcriptional factor SWI5	TEC1	YBR083W	Ty transcription activator TEC1	ng
SWI5	YDR146C	Transcriptional factor SWI5	VID24	YBR105C	Vacuolar import and degradation protein 24	ng
SWI5	YDR146C	Transcriptional factor SWI5	CYC8	YBR112C	General transcriptional corepressor CYC8	ng
SWI5	YDR146C	Transcriptional factor SWI5	MCM7	YBR202W	DNA replication licensing factor MCM7	ng
KGD2	YDR148C	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial precursor	PDB1	YBR221C	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial precursor	ng
KGD2	YDR148C	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial precursor	PTC6	YCR079W	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial {ECO:0000305} precursor	ng
NUM1	YDR150W	Nuclear migration protein NUM1	DUN1	YDL101C	DNA damage response protein kinase DUN1	ng
RPA14	YDR156W	DNA-directed RNA polymerase I subunit RPA14	CSG2	YBR036C	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 precursor	ng
NA	YDR157W	Putative uncharacterized protein YDR157W	SLM4	YBR077C	Protein SLM4	ng
HOM2	YDR158W	Aspartate-semialdehyde dehydrogenase	SLM4	YBR077C	Protein SLM4	ng
HOM2	YDR158W	Aspartate-semialdehyde dehydrogenase	SHR3	YDL212W	Secretory component protein SHR3	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	HTB2	YBL002W	Histone H2B.2	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	NUP170	YBL079W	Nucleoporin NUP170	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	HHT1	YBR010W	Histone H3	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	GBP2	YCL011C	Single-strand telomeric DNA-binding protein GBP2	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	BIK1	YCL029C	Nuclear fusion protein BIK1	ng
SAC3	YDR159W	Nuclear mRNA export protein SAC3	ENT1	YDL161W	Epsin-1	ng
NBP2	YDR162C	NAP1-binding protein 2	ATS1	YAL020C	Protein ATS1	ng
NBP2	YDR162C	NAP1-binding protein 2	HSL7	YBR133C	Protein arginine N-methyltransferase HSL7 {ECO:0000305|PubMed:10903903}	ng
NBP2	YDR162C	NAP1-binding protein 2	BEM1	YBR200W	Bud emergence protein 1	ng
CWC15	YDR163W	Pre-mRNA-splicing factor CWC15	PRP45	YAL032C	Pre-mRNA-processing protein 45	ng
CWC15	YDR163W	Pre-mRNA-splicing factor CWC15	BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	ng
CWC15	YDR163W	Pre-mRNA-splicing factor CWC15	PRP11	YDL043C	Pre-mRNA-splicing factor PRP11	ng
TAF10	YDR167W	Transcription initiation factor TFIID subunit 10	SWC3	YAL011W	SWR1-complex protein 3	ng
TAF10	YDR167W	Transcription initiation factor TFIID subunit 10	DEP1	YAL013W	Transcriptional regulatory protein DEP1	ng
TAF10	YDR167W	Transcription initiation factor TFIID subunit 10	BUD31	YCR063W	Pre-mRNA-splicing factor BUD31	ng
TAF10	YDR167W	Transcription initiation factor TFIID subunit 10	KIN28	YDL108W	Serine/threonine-protein kinase KIN28	ng
CDC37	YDR168W	Hsp90 co-chaperone Cdc37	CDC19	YAL038W	Pyruvate kinase 1	ng
CDC37	YDR168W	Hsp90 co-chaperone Cdc37	CYC8	YBR112C	General transcriptional corepressor CYC8	ng
CDC37	YDR168W	Hsp90 co-chaperone Cdc37	HSL7	YBR133C	Protein arginine N-methyltransferase HSL7 {ECO:0000305|PubMed:10903903}	ng
CDC37	YDR168W	Hsp90 co-chaperone Cdc37	THR4	YCR053W	Threonine synthase	ng
CDC37	YDR168W	Hsp90 co-chaperone Cdc37	ACK1	YDL203C	Activator of C kinase protein 1	ng
CDC37	YDR168W	Hsp90 co-chaperone Cdc37	SSB1	YDL229W	Heat shock protein SSB1	ng
CDC37	YDR168W	Hsp90 co-chaperone Cdc37	PSF1	YDR013W	DNA replication complex GINS protein PSF1	ng
SEC7	YDR170C	Protein transport protein SEC7	DRS2	YAL026C	Probable phospholipid-transporting ATPase DRS2	ng
SEC7	YDR170C	Protein transport protein SEC7	ARF1	YDL192W	ADP-ribosylation factor 1	ng
SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	RBG1	YAL036C	Ribosome-interacting GTPase 1	ng
SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	GPB2	YAL056W	Guanine nucleotide-binding protein subunit beta 2	ng
SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	NUP60	YAR002W	Nucleoporin NUP60	ng
SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	LSM2	YBL026W	U6 snRNA-associated Sm-like protein LSm2	ng
SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	NUP170	YBL079W	Nucleoporin NUP170	ng
SUP35	YDR172W	Eukaryotic peptide chain release factor GTP-binding subunit	SUP45	YBR143C	Eukaryotic peptide chain release factor subunit 1	ng
HMO1	YDR174W	High mobility group protein 1	RPS8A	YBL072C	40S ribosomal protein S8-A	ng
HMO1	YDR174W	High mobility group protein 1	RPS6B	YBR181C	40S ribosomal protein S6-B	ng
NGG1	YDR176W	Chromatin-remodeling complexes subunit NGG1	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	ng
NGG1	YDR176W	Chromatin-remodeling complexes subunit NGG1	RXT2	YBR095C	Transcriptional regulatory protein RXT2	ng
UBC1	YDR177W	Ubiquitin-conjugating enzyme E2 1	UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	ng
UBC1	YDR177W	Ubiquitin-conjugating enzyme E2 1	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
SCC2	YDR180W	Sister chromatid cohesion protein 2	RIB5	YBR256C	Riboflavin synthase	ng
SCC2	YDR180W	Sister chromatid cohesion protein 2	MCD1	YDL003W	Sister chromatid cohesion protein 1	ng
SCC2	YDR180W	Sister chromatid cohesion protein 2	MBP1	YDL056W	Transcription factor MBP1	ng
SCC2	YDR180W	Sister chromatid cohesion protein 2	RAD61	YDR014W	Protein RAD61	ng
SLY1	YDR189W	Protein SLY1	SEC17	YBL050W	Alpha-soluble NSF attachment protein	ng
SLY1	YDR189W	Protein SLY1	COP1	YDL145C	Coatomer subunit alpha	ng
NUP42	YDR192C	Nucleoporin NUP42	ASM4	YDL088C	Nucleoporin ASM4	ng
NUP42	YDR192C	Nucleoporin NUP42	GLE1	YDL207W	Nucleoporin GLE1	ng
REF2	YDR195W	RNA end formation protein 2	SEC18	YBR080C	Vesicular-fusion protein SEC18	ng
REF2	YDR195W	RNA end formation protein 2	THR4	YCR053W	Threonine synthase	ng
REF2	YDR195W	RNA end formation protein 2	GPR1	YDL035C	G protein-coupled receptor GPR1	ng
REF2	YDR195W	RNA end formation protein 2	BDF2	YDL070W	Bromodomain-containing factor 2	ng
REF2	YDR195W	RNA end formation protein 2	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	ng
RAV2	YDR202C	Regulator of V-ATPase in vacuolar membrane protein 2	CDC53	YDL132W	Cell division control protein 53	ng
MSC2	YDR205W	Probable zinc transporter MSC2	REB1	YBR049C	DNA-binding protein REB1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	NUP60	YAR002W	Nucleoporin NUP60	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	SHP1	YBL058W	UBX domain-containing protein 1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	MUM2	YBR057C	Protein MUM2	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	SLM4	YBR077C	Protein SLM4	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	AME1	YBR211C	Central kinetochore subunit AME1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	ISW1	YBR245C	ISWI chromatin-remodeling complex ATPase ISW1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	MRPL27	YBR282W	54S ribosomal protein L27, mitochondrial precursor	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	BIK1	YCL029C	Nuclear fusion protein BIK1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	PAT1	YCR077C	DNA topoisomerase 2-associated protein PAT1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	SLX5	YDL013W	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	RPN4	YDL020C	Protein RPN4	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	MPS1	YDL028C	Serine/threonine-protein kinase MPS1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	GPR1	YDL035C	G protein-coupled receptor GPR1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	BDF2	YDL070W	Bromodomain-containing factor 2	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	DUN1	YDL101C	DNA damage response protein kinase DUN1	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	CDC48	YDL126C	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	UFD2	YDL190C	E4 ubiquitin-protein ligase UFD2	ng
UME6	YDR207C	Transcriptional regulatory protein UME6	SOR2	YDL246C	Sorbitol dehydrogenase 2	ng
MSS4	YDR208W	Probable phosphatidylinositol 4-phosphate 5-kinase MSS4	PMT2	YAL023C	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 {ECO:0000305}	ng
MSS4	YDR208W	Probable phosphatidylinositol 4-phosphate 5-kinase MSS4	RPL4A	YBR031W	60S ribosomal protein L4-A	ng
MSS4	YDR208W	Probable phosphatidylinositol 4-phosphate 5-kinase MSS4	ECM33	YBR078W	Cell wall protein ECM33 precursor	ng
TCP1	YDR212W	T-complex protein 1 subunit alpha	ARP2	YDL029W	Actin-related protein 2	ng
TCP1	YDR212W	T-complex protein 1 subunit alpha	CCT4	YDL143W	T-complex protein 1 subunit delta	ng
RAD9	YDR217C	DNA repair protein RAD9	MCM2	YBL023C	DNA replication licensing factor MCM2	ng
RAD9	YDR217C	DNA repair protein RAD9	MRC1	YCL061C	Mediator of replication checkpoint protein 1	ng
RAD9	YDR217C	DNA repair protein RAD9	POL3	YDL102W	DNA polymerase delta catalytic subunit	ng
RAD9	YDR217C	DNA repair protein RAD9	PSF1	YDR013W	DNA replication complex GINS protein PSF1	ng
MFB1	YDR219C	Mitochondrial F-box protein MFB1	REB1	YBR049C	DNA-binding protein REB1	ng
GTB1	YDR221W	Glucosidase 2 subunit beta precursor	RPN6	YDL097C	26S proteasome regulatory subunit RPN6	ng
HTA1	YDR225W	Histone H2A.1	HTA2	YBL003C	Histone H2A.2	ng
HTA1	YDR225W	Histone H2A.1	HIR1	YBL008W	Protein HIR1	ng
HTA1	YDR225W	Histone H2A.1	BRN1	YBL097W	Condensin complex subunit 2	ng
HTA1	YDR225W	Histone H2A.1	ORC2	YBR060C	Origin recognition complex subunit 2	ng
HTA1	YDR225W	Histone H2A.1	HPC2	YBR215W	Histone promoter control protein 2	ng
HTA1	YDR225W	Histone H2A.1	MRC1	YCL061C	Mediator of replication checkpoint protein 1	ng
ADK1	YDR226W	Adenylate kinase {ECO:0000255|HAMAP-Rule:MF_03168} precursor	CDC19	YAL038W	Pyruvate kinase 1	ng
COX20	YDR231C	Cytochrome c oxidase protein 20, mitochondrial precursor	IPP1	YBR011C	Inorganic pyrophosphatase	ng
COX20	YDR231C	Cytochrome c oxidase protein 20, mitochondrial precursor	ATG15	YCR068W	Putative lipase ATG15	ng
RTN1	YDR233C	Reticulon-like protein 1	ERV15	YBR210W	ER-derived vesicles protein ERV15	ng
PRP42	YDR235W	U1 small nuclear ribonucleoprotein component PRP42	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	ng
PRP42	YDR235W	U1 small nuclear ribonucleoprotein component PRP42	PRP11	YDL043C	Pre-mRNA-splicing factor PRP11	ng
SEC26	YDR238C	Coatomer subunit beta	REB1	YBR049C	DNA-binding protein REB1	ng
SEC26	YDR238C	Coatomer subunit beta	BPH1	YCR032W	Beige protein homolog 1	ng
SEC26	YDR238C	Coatomer subunit beta	ARF2	YDL137W	ADP-ribosylation factor 2	ng
SEC26	YDR238C	Coatomer subunit beta	COP1	YDL145C	Coatomer subunit alpha	ng
SEC26	YDR238C	Coatomer subunit beta	CLB3	YDL155W	G2/mitotic-specific cyclin-3	ng
SEC26	YDR238C	Coatomer subunit beta	SHR3	YDL212W	Secretory component protein SHR3	ng
SNU56	YDR240C	56 kDa U1 small nuclear ribonucleoprotein component	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	ng
SNU56	YDR240C	56 kDa U1 small nuclear ribonucleoprotein component	PRP11	YDL043C	Pre-mRNA-splicing factor PRP11	ng
SNU56	YDR240C	56 kDa U1 small nuclear ribonucleoprotein component	LUC7	YDL087C	Protein LUC7	ng
MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	PKC1	YBL105C	Protein kinase C-like 1	ng
MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	ECM33	YBR078W	Cell wall protein ECM33 precursor	ng
MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	FES1	YBR101C	Hsp70 nucleotide exchange factor FES1	ng
MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	TOS1	YBR162C	Protein TOS1 precursor	ng
MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	RRP7	YCL031C	Ribosomal RNA-processing protein 7	ng
MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	NSE4	YDL105W	Non-structural maintenance of chromosome element 4	ng
MNN10	YDR245W	Probable alpha-1,6-mannosyltransferase MNN10	COP1	YDL145C	Coatomer subunit alpha	ng
TRS23	YDR246W	Trafficking protein particle complex subunit 23	TRS20	YBR254C	Trafficking protein particle complex subunit 20	ng
MET32	YDR253C	Transcriptional regulator MET32	CYS3	YAL012W	Cystathionine gamma-lyase	ng
CHL4	YDR254W	Central kinetochore subunit CHL4	SLI15	YBR156C	Inner centromere protein-related protein SLI15	ng
SWM1	YDR260C	Anaphase-promoting complex subunit SWM1	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
DIN7	YDR263C	DNA damage-inducible protein DIN7	KRR1	YCL059C	KRR1 small subunit processome component	ng
AKR1	YDR264C	Palmitoyltransferase AKR1	CDC28	YBR160W	Cyclin-dependent kinase 1	ng
AKR1	YDR264C	Palmitoyltransferase AKR1	CLB3	YDL155W	G2/mitotic-specific cyclin-3	ng
PMP3	YDR276C	Plasma membrane proteolipid 3	FMT1	YBL013W	Methionyl-tRNA formyltransferase, mitochondrial precursor	ng
PMP3	YDR276C	Plasma membrane proteolipid 3	ENT1	YDL161W	Epsin-1	ng
RRP45	YDR280W	Exosome complex component RRP45	THR4	YCR053W	Threonine synthase	ng
RRP45	YDR280W	Exosome complex component RRP45	RRP42	YDL111C	Exosome complex component RRP42	ng
MRX10	YDR282C	MIOREX complex component 10 {ECO:0000305|PubMed:25683707} precursor	PSK1	YAL017W	Serine/threonine-protein kinase PSK1	ng
GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	MSI1	YBR195C	Chromatin assembly factor 1 subunit p50	ng
GCN2	YDR283C	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	PHO2	YDL106C	Regulatory protein PHO2	ng
RTT103	YDR289C	Regulator of Ty1 transposition protein 103	RPB5	YBR154C	DNA-directed RNA polymerases I, II, and III subunit RPABC1	ng
SSD1	YDR293C	Protein SSD1	CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	ng
SSD1	YDR293C	Protein SSD1	KIN28	YDL108W	Serine/threonine-protein kinase KIN28	ng
SSD1	YDR293C	Protein SSD1	CDC34	YDR054C	Ubiquitin-conjugating enzyme E2-34 kDa	ng
BFR2	YDR299W	Protein BFR2	NOP1	YDL014W	rRNA 2'-O-methyltransferase fibrillarin	ng
BFR2	YDR299W	Protein BFR2	RPO21	YDL140C	DNA-directed RNA polymerase II subunit RPB1	ng
CFT1	YDR301W	Protein CFT1	RPS16B	YDL083C	40S ribosomal protein S16-B	ng
SRB7	YDR308C	Mediator of RNA polymerase II transcription subunit 21	MED8	YBR193C	Mediator of RNA polymerase II transcription subunit 8	ng
GIC2	YDR309C	GTPase-interacting component 2	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
GIC2	YDR309C	GTPase-interacting component 2	CDC24	YAL041W	Cell division control protein 24	ng
GIC2	YDR309C	GTPase-interacting component 2	BEM1	YBR200W	Bud emergence protein 1	ng
SUM1	YDR310C	Suppressor of mar1-1 protein	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
SUM1	YDR310C	Suppressor of mar1-1 protein	BEM1	YBR200W	Bud emergence protein 1	ng
TFB1	YDR311W	RNA polymerase II transcription factor B subunit 1	CHK1	YBR274W	Serine/threonine-protein kinase CHK1	ng
TFB1	YDR311W	RNA polymerase II transcription factor B subunit 1	NA	YDL186W	Uncharacterized protein YDL186W	ng
SSF2	YDR312W	Ribosome biogenesis protein SSF2	IPP1	YBR011C	Inorganic pyrophosphatase	ng
MCM21	YDR318W	Central kinetochore subunit MCM21	AME1	YBR211C	Central kinetochore subunit AME1	ng
MCM21	YDR318W	Central kinetochore subunit MCM21	MPS1	YDL028C	Serine/threonine-protein kinase MPS1	ng
MCM21	YDR318W	Central kinetochore subunit MCM21	DAD1	YDR016C	DASH complex subunit DAD1	ng
SWA2	YDR320C	Auxilin-like clathrin uncoating factor SWA2	VAM6	YDL077C	Vacuolar morphogenesis protein 6	ng
SWA2	YDR320C	Auxilin-like clathrin uncoating factor SWA2	RGP1	YDR137W	Guanine nucleotide exchange factor subunit RGP1 {ECO:0000305}	ng
PEP7	YDR323C	Vacuolar segregation protein PEP7	SEC26	YDR238C	Coatomer subunit beta	ng
YCG1	YDR325W	Condensin complex subunit 3	BRN1	YBL097W	Condensin complex subunit 2	ng
YCG1	YDR325W	Condensin complex subunit 3	PAT1	YCR077C	DNA topoisomerase 2-associated protein PAT1	ng
YCG1	YDR325W	Condensin complex subunit 3	CSM1	YCR086W	Monopolin complex subunit CSM1	ng
YCG1	YDR325W	Condensin complex subunit 3	CDC7	YDL017W	Cell division control protein 7	ng
SKP1	YDR328C	Suppressor of kinetochore protein 1	SEC17	YBL050W	Alpha-soluble NSF attachment protein	ng
SKP1	YDR328C	Suppressor of kinetochore protein 1	RPA14	YDR156W	DNA-directed RNA polymerase I subunit RPA14	ng
PEX3	YDR329C	Peroxisomal biogenesis factor 3	ATG8	YBL078C	Autophagy-related protein 8 precursor	ng
UBX5	YDR330W	UBX domain-containing protein 5	NSE4	YDL105W	Non-structural maintenance of chromosome element 4	ng
RQC1	YDR333C	Ribosome quality control complex subunit 1 {ECO:0000303|PubMed:23178123}	REB1	YBR049C	DNA-binding protein REB1	ng
SWR1	YDR334W	Helicase SWR1	SAS3	YBL052C	Histone acetyltransferase SAS3	ng
SWR1	YDR334W	Helicase SWR1	RXT2	YBR095C	Transcriptional regulatory protein RXT2	ng
SWR1	YDR334W	Helicase SWR1	SNT1	YCR033W	Probable DNA-binding protein SNT1	ng
SWR1	YDR334W	Helicase SWR1	BDF2	YDL070W	Bromodomain-containing factor 2	ng
SWR1	YDR334W	Helicase SWR1	TAF12	YDR145W	Transcription initiation factor TFIID subunit 12	ng
SWR1	YDR334W	Helicase SWR1	TAF10	YDR167W	Transcription initiation factor TFIID subunit 10	ng
MSN5	YDR335W	Protein MSN5	SED1	YDR077W	Cell wall protein SED1 precursor	ng
FCF1	YDR339C	rRNA-processing protein FCF1	RRP7	YCL031C	Ribosomal RNA-processing protein 7	ng
FCF1	YDR339C	rRNA-processing protein FCF1	NUS1	YDL193W	Dehydrodolichyl diphosphate syntase complex subunit NUS1 {ECO:0000305}	ng
MRP1	YDR347W	37S ribosomal protein MRP1, mitochondrial precursor	IPP1	YBR011C	Inorganic pyrophosphatase	ng
PAL1	YDR348C	Protein PAL1	PKC1	YBL105C	Protein kinase C-like 1	ng
SBE2	YDR351W	Protein SBE2	PKC1	YBL105C	Protein kinase C-like 1	ng
SBE2	YDR351W	Protein SBE2	BEM1	YBR200W	Bud emergence protein 1	ng
SBE2	YDR351W	Protein SBE2	PTC1	YDL006W	Protein phosphatase 2C homolog 1	ng
SPC110	YDR356W	Spindle pole body component 110	REB1	YBR049C	DNA-binding protein REB1	ng
SPC110	YDR356W	Spindle pole body component 110	HCM1	YCR065W	Forkhead transcription factor HCM1	ng
SPC110	YDR356W	Spindle pole body component 110	INO2	YDR123C	Protein INO2	ng
